ViralOTU	Closer	Accession	Status	VC	Level	Weight	Host	BaltimoreGroup	Realm	Kingdom	Phylum	Class	Order	Family	Subfamily	Genus
vOTU_1035	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1036	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1037	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1038	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1039	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_104	Klebsiella phage ST405-OXA48phi1.1	MK388859	Overlap (VC_171/VC_172)	n.a.	1N1	87	Klebsiella	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1040	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1041	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1042	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1043	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1044	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1045	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1046	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1047	Klebsiella phage ST846-OXA48phi9.1	MK416021	Outlier	n.a.	1N3	6	Klebsiella	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1048	Serratia phage vB_SspM_BZS1	MT843275	Outlier	n.a.	2N1	8	Serratia	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1049	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_105	Erwinia phage vB_EhrS_59	MH443101	Overlap (VC_32/VC_33)	n.a.	1N1	66	Erwinia	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1050	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1051	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1052	Salmonella phage SEN34	KT630649	Outlier	n.a.	1N1	24	Salmonella	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1053	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1054	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1055	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1056	Klebsiella phage ST13-OXA48phi12.5	MK714353	Outlier	n.a.	1N1	26	Klebsiella	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1057	Salmonella phage SW-37	CP051275	Outlier	n.a.	1N3	22	Salmonella	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1058	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1059	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_106	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1060	Streptococcus phage IPP61	KY065497	Outlier	n.a.	1N9	3	Streptococcus	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1061	Streptococcus phage IPP61	KY065497	Clustered	VC_1363_0	3C2	3	Streptococcus	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Unclassified	Unclassified
vOTU_1062	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1063	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1064	Escherichia virus Lambda_4C10	LR595861	Outlier	n.a.	1N1	22	Escherichia	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1065	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1066	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1067	Enterobacteria phage P4	X51522	Clustered	VC_1362_0	1C2	15	Enterobacteria	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
vOTU_1068	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1069	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_107	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1070	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1071	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1072	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1073	Escherichia phage RCS47	FO818745	Outlier	n.a.	2N1	3	Escherichia	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1074	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1075	Akkermansia phage DTMo-2021a	CP084202	Clustered	VC_693_0	1N2	9	Akkermansia	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1076	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1077	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1078	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1079	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_108	n.a.	n.a.	Clustered	VC_1369_0	F	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1080	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1081	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1082	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1083	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1084	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1085	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1086	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1087	Clostridium phage phiCD38-2	HM568888	Overlap (VC_563/VC_842)	n.a.	1N3	2	Clostridium	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1088	Flavobacterium phage fF4	MN850656	Clustered	VC_1329_0	1N2	5	Flavobacterium	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1089	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_109	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1090	Escherichia phage PHB10	MK524177	Outlier	n.a.	1N1	1	Escherichia	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1091	Streptococcus phage IPP61	KY065497	Outlier	n.a.	4N1	9	Streptococcus	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1092	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1093	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1094	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1095	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1096	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1097	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1098	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1099	Escherichia phage P1	AF234173	Clustered	VC_286_0	2C4	8	Escherichia	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified	Punavirus
vOTU_11	Phage DP SC_6_H4_2017	MT121964	Clustered	VC_1339_0	1C1	108	Unspecified	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified	Unclassified
vOTU_110	Bifidobacterium phage Bbif-1	GQ141189	Overlap (VC_808/VC_1371)	n.a.	2N2	8	Bifidobacterium	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1100	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1101	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1102	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1103	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1104	Clostridium phage phiMMP01	LN681541	Clustered	VC_141_0	1N5	3	Clostridium	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1105	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1106	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1107	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1108	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1109	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_111	n.a.	n.a.	Outlier	n.a.	F	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1110	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1111	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1112	Escherichia phage phiv205-1	MN340231	Clustered	VC_1373_0	3N2	2	Escherichia	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1113	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1114	Escherichia phage phiv205-1	MN340231	Clustered	VC_449_0	2C1	4	Escherichia	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Unclassified	Lederbergvirus
vOTU_1115	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1116	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1117	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1118	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1119	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_112	Acinetobacter phage MD-2021a	CAKLQA010000002	Clustered	VC_624_0	1N4	1	Acinetobacter	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1120	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1121	Erysipelothrix phage phi1605	MF172979	Clustered	VC_1365_0	2C1	5	Erysipelothrix	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Unclassified	Unclassified
vOTU_1122	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1123	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1124	Streptococcus phage IPP61	KY065497	Outlier	n.a.	5N1	2	Streptococcus	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1125	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1126	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1127	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1128	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_1129	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
vOTU_113	Enterococcus phage EF62phi	CP002495	Clustered	VC_667_0	1C1	159	Enterococcus	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Unclassified	Unclassified
vOTU_1130	Vibrio phage phi 2	KJ545483	Outlier	n.a.	1N2	7	Vibrio	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1131	Klebsiella phage ST101-KPC2phi6.3	MK416017	Outlier	n.a.	1N1	7	Klebsiella	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	O	O	O
vOTU_1132	Streptococcus phage IPP61	KY065497	Clustered	VC_1374_0	5C1	3	Streptococcus	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Unclassified	Unclassified
